#vuds_ident alpha delta id_iau id_candels z_spec zflags magi model age age_loweff1sig age_higheff1sig log_stellar_mass stellar_mass_loweff1sig stellar_mass_higheff1sig log_star_formation_rate star_formation_rate_loweff1sig star_formation_rate_higheff1sig log_specific_sfr specific_sfr_loweff1sig specific_sfr_higheff1sig m_k k ek z_1a ra dec flag
5101234193 150.201828 2.37354207 VUDS-J100048.43+022224.7 16303 3.4751 4 24.24 11 298993000 113771000 602106000 10.3708 10.2065 10.4898 2.08696 1.86155 2.36076 -8.2659 -8.57873 -7.94775 -23.561 22.654 0.054 3.4751 150.201828 2.37354207 4
5101234399 150.14602661 2.37193799 VUDS-J100035.04+022218.9 16102 3.2538 2 24.155 4 166168000 96754200 345743000 9.86051 9.71459 10.014 1.82671 1.65401 1.95633 -8.0307 -8.33733 -7.76541 -22.973 23.733 0.12 3.2538 150.14602661 2.37193799 2
5101234494 150.19413757 2.37226892 VUDS-J100046.59+022220.1 16165 4.6031 39 24.324 2 856701000 752674000 1077430000 10.7504 10.6753 10.842 1.33733 1.244 1.58916 -9.39304 -9.58208 -9.09271 -23.866 23.115 0.086 4.6031 150.19413757 2.37226892 39
5101234596 150.15977478 2.37122989 VUDS-J100038.34+022216.4 16064 2.4562 3 23.854 1 183254000 127802000 348885000 9.93401 9.84257 10.0376 1.79919 1.67572 1.95604 -8.13553 -8.34421 -7.92853 -22.689 22.684 0.056 2.4562 150.15977478 2.37122989 3
5101235245 150.18377686 2.36775494 VUDS-J100044.10+022203.9 15788 3.2758 9 23.996 2 1030750000 935653000 1116040000 11.2501 11.216 11.2842 1.46475 1.31942 1.55949 -9.73524 -9.88059 -9.64139 -25.006 21.834 0.021 3.2758 150.18377686 2.36775494 9
5101235246 150.184 2.36758 VUDS-J100044.06+022203.2 -99.9 3.5770 21 24.812 2 1112210000 998588000 1337880000 10.8281 10.7765 10.9398 0.993151 0.846136 1.31561 -9.82393 -9.97123 -9.58323 -24.525 22.926 0.057 3.577 150.184 2.36758 21
5101235293 150.14762878 2.36718607 VUDS-J100035.43+022201.8 15699 2.4520 4 23.786 13 790727000 517991000 1287490000 10.1001 9.99082 10.1984 1.3973 1.32662 1.46784 -8.66811 -8.79006 -8.54427 -22.93 22.94 0.067 2.452 150.14762878 2.36718607 4
5101235492 150.16119385 2.36541104 VUDS-J100038.68+022155.4 15543 2.6015 1 24.79 10 175447000 98923900 378363000 9.12209 8.94328 9.28923 1.04921 0.863603 1.1959 -8.06972 -8.38001 -7.71794 -20.524 24.602 0.294 2.6015 150.16119385 2.36541104 1
5101235539 150.19587708 2.36534905 VUDS-J100047.00+022155.2 15567 2.8586 1 24.623 10 53335800 47276600 121342000 9.11751 8.98587 9.23407 1.57153 1.40771 1.71062 -7.39921 -7.74749 -7.26375 -21.07 24.129 0.173 2.8586 150.19587708 2.36534905 1
5101235549 150.16419983 2.36540294 VUDS-J100039.40+022155.4 15576 2.4571 3 24.326 10 143131000 52493600 294967000 9.70186 9.49982 9.84111 1.76414 1.52485 1.92562 -7.95343 -8.28711 -7.60011 -22.08 23.111 0.081 2.4571 150.16419983 2.36540294 3
5101236017 150.17338562 2.35804296 VUDS-J100041.61+022128.9 14902 0.6238 3 24.997 12 105294000 49173900 237024000 7.68098 7.52731 7.82795 -0.143101 -0.415271 0.0582533 -7.78065 -8.15873 -7.56337 -18.64 24.697 0.276 0.6238 150.17338562 2.35804296 3
5101236096 150.16656494 2.36196995 VUDS-J100039.97+022143.0 15286 2.6680 1 24.423 11 55020000 47749200 120074000 10.3051 10.2474 10.3618 2.67652 2.56842 2.99357 -7.57136 -7.6892 -7.2937 -23.593 22.057 0.03 2.668 150.16656494 2.36196995 1
5101236151 150.16340637 2.36029696 VUDS-J100039.21+022137.0 15130 2.8221 3 23.822 13 323002000 172335000 571826000 9.90165 9.76746 10.0108 1.56749 1.4244 1.72005 -8.33912 -8.53945 -8.08294 -22.587 23.512 0.095 2.8221 150.16340637 2.36029696 3
5101236189 150.19293213 2.36124897 VUDS-J100046.30+022140.4 15184 2.6419 1 24.821 3 1530440000 911728000 2106660000 9.82386 9.70283 9.92653 0.755982 0.609719 0.89156 -9.0803 -9.25334 -8.87882 -21.546 23.977 0.146 2.6419 150.19293213 2.36124897 1
5101236265 150.17001343 2.36076903 VUDS-J100040.80+022138.7 15169 2.4626 2 25.0 1 553447000 296883000 1117540000 10.0046 9.8591 10.1321 1.44131 1.23065 1.60463 -8.57275 -8.88436 -8.27118 -22.32 23.261 0.083 2.4626 150.17001343 2.36076903 2
5101236306 150.197 2.35971 VUDS-J100047.30+022134.9 33991 2.5729 22 26.419 11 530211000 165289000 1441970000 9.41697 8.95417 9.88439 0.866839 0.614233 1.15412 -8.55671 -9.04184 -8.03985 -21.149 -99.9 -99.9 2.5729 150.197 2.35971 22
5101236710 150.17173767 2.35718703 VUDS-J100041.21+022125.8 14836 0.3209 4 24.34 11 959496000 448848000 1986290000 7.96493 7.83575 8.09091 -0.836649 -1.08649 -0.6155 -8.80052 -9.12662 -8.49918 -16.554 24.019 0.19 0.3209 150.17173767 2.35718703 4
5101236802 150.19154358 2.35714006 VUDS-J100045.97+022125.7 14868 0.3408 3 24.243 10 2336700000 852030000 6079650000 8.21812 8.07499 8.38365 -1.17188 -1.44231 -0.862995 -9.40546 -9.75844 -9.01367 -17.073 23.645 0.134 0.3408 150.19154358 2.35714006 3
5101236815 150.15621948 2.35590005 VUDS-J100037.49+022121.2 14771 2.6012 1 24.179 13 460722000 322929000 851519000 10.3988 10.3159 10.4925 1.88532 1.8025 1.96848 -8.50238 -8.67467 -8.3822 -23.577 22.834 0.05 2.6012 150.15621948 2.35590005 1
5101236872 150.15214539 2.35679889 VUDS-J100036.51+022124.4 14820 2.2909 1 24.628 13 1301550000 859576000 1955840000 9.73643 9.61615 9.84434 0.80135 0.715241 0.88214 -8.92815 -9.0825 -8.76474 -21.489 23.664 0.116 2.2909 150.15214539 2.35679889 1
5101236893 150.20083618 2.35633993 VUDS-J100048.20+022122.8 14797 0.7278 3 24.174 13 141507000 50960500 284634000 9.01748 8.83204 9.12189 1.02046 0.908396 1.44339 -8.03175 -8.17091 -7.31961 -20.73 22.442 0.042 0.7278 150.20083618 2.35633993 3
5101236942 150.16723633 2.35573602 VUDS-J100040.13+022120.6 14782 1.2613 1 23.948 6 3397040000 2000200000 4232770000 10.4256 10.3054 10.4911 0.988835 0.877599 1.21158 -9.46407 -9.58778 -9.08754 -22.82 21.865 0.021 1.2613 150.16723633 2.35573602 1
5101237150 150.17503357 2.35366797 VUDS-J100042.00+022113.2 14583 1.4380 3 24.151 1 616503000 326126000 975155000 9.61557 9.51819 9.69594 0.961337 0.836181 1.09621 -8.66733 -8.81821 -8.43948 -21.318 22.882 0.065 1.438 150.17503357 2.35366797 3
